event_time,func_id,trigger_type,exec_time,cold_start_flag
2592000.328,1529---631---pool23-400-256,APIG,0.001059,0
2592000.329,137---631---pool23-400-256,OBS,0.178086,0
2592000.33,1118---631---pool24-600-512,APIG,0.003603,0
2592000.331,1542---502---pool22-300-128,unknown,0.004521,0
2592000.334,1118---631---pool24-600-512,APIG,0.002482,0
2592000.335,1529---631---pool23-400-256,APIG,0.001081,0
2592000.336,1529---631---pool23-400-256,APIG,0.00093,0
2592000.336,1495---631---pool22-300-128,unknown,0.001458,0
2592000.337,860---830---pool23-400-256,KAFKA,0.001368,0
2592000.338,1118---631---pool24-600-512,APIG,0.002626,0
2592000.338,1118---631---pool24-600-512,APIG,0.00234,0
2592000.338,1413---631---pool22-300-128,unknown,0.00171,0
2592000.338,1363---735---pool22-300-128,LTS,0.003958,0
2592000.339,1363---735---pool22-300-128,LTS,0.004586,0
2592000.339,1118---631---pool24-600-512,APIG,0.003769,0
2592000.34,1118---631---pool24-600-512,APIG,0.002313,0
2592000.341,1529---631---pool23-400-256,APIG,0.001276,0
2592000.342,1413---631---pool22-300-128,unknown,0.001271,0
2592000.344,944---173---custom.image.gpu-25800-32768,unknown,0.062179,0
2592000.344,1118---631---pool24-600-512,APIG,0.002244,0
2592000.344,1118---631---pool24-600-512,APIG,0.003833,0
2592000.344,1529---631---pool23-400-256,APIG,0.001454,0
2592000.348,1118---631---pool24-600-512,APIG,0.002299,0
2592000.349,1542---502---pool22-300-128,unknown,0.009577,0
2592000.35,1529---631---pool23-400-256,APIG,0.001248,0
2592000.35,1413---631---pool22-300-128,unknown,0.001228,0
2592000.352,1529---631---pool23-400-256,APIG,0.001085,0
2592000.357,1529---631---pool23-400-256,APIG,0.000923,0
2592000.357,1179---502---pool23-400-256,unknown,0.014722,0
2592000.357,1529---631---pool23-400-256,APIG,0.001398,0
2592000.357,1118---631---pool24-600-512,APIG,0.004198,0
2592000.359,1111---818---pool24-600-512,APIG,0.003185,0
2592000.361,1529---631---pool23-400-256,APIG,0.000934,0
2592000.361,1529---631---pool23-400-256,APIG,0.00141,0
2592000.361,1118---631---pool24-600-512,APIG,0.002376,0
2592000.362,944---173---custom.image.gpu-25800-32768,unknown,0.032067,0
2592000.363,1118---631---pool24-600-512,APIG,0.002519,0
2592000.363,77---735---pool22-300-128,LTS,0.001138,0
